Email,Subject,Confidence
stephen.marquard@uct.ac.za,r39772,0.8475
louis@media.berkeley.edu,r39771,0.6178
zqian@umich.edu,r39770,0.6961
rjlowe@iupui.edu,r39769,0.7565
zqian@umich.edu,r39766,0.7626
rjlowe@iupui.edu,r39765,0.7556
cwen@iupui.edu,r39764,0.7002
cwen@iupui.edu,r39763,0.7615
gsilver@umich.edu,r39762,0.7601
gsilver@umich.edu,r39761,0.7605
zqian@umich.edu,r39760,0.6959
gsilver@umich.edu,r39759,0.7606
wagnermr@iupui.edu,r39758,0.7559
zqian@umich.edu,r39757,0.7605
antranig@caret.cam.ac.uk,r39756,0.6932
gopal.ramasammycook@gmail.com,r39755,0.7558
david.horwitz@uct.ac.za,r39754,0.6526
david.horwitz@uct.ac.za,r39753,0.6948
david.horwitz@uct.ac.za,r39752,0.6528
david.horwitz@uct.ac.za,r39751,0.7002
stephen.marquard@uct.ac.za,r39750,0.7554
louis@media.berkeley.edu,r39749,0.6956
louis@media.berkeley.edu,r39746,0.6959
ray@media.berkeley.edu,r39745,0.7556
cwen@iupui.edu,r39744,0.9846
cwen@iupui.edu,r39743,0.8509
cwen@iupui.edu,r39742,0.9907
